INSTNM,LATITUDE,LONGITUDE
Bakersfield College,35.40911,-118.973753
Barstow Community College,34.870285,-117.023412
Bellus Academy-Chula Vista,32.614773,-117.083738
Bethesda University,33.842295,-117.941323
Biola University,33.906203,-118.014374
Brownson Technical School,33.819032,-117.905774
Bryan University,33.437779,-111.944197
Butte College,39.649782,-121.644831
California Institute of Integral Studies,37.774924,-122.416102
Cabrillo College,36.989448,-121.924797
California Baptist University,33.929321,-117.425619
California College of the Arts,37.767485,-122.399451
University of California-Hastings College of Law,37.781137,-122.4157
California Institute of Technology,34.137349,-118.125878
California Lutheran University,34.224566,-118.878924
California Polytechnic State University-San Luis Obispo,35.299513,-120.657311
Alliant International University-San Diego,32.897056,-117.094398
California State University-Bakersfield,35.350005,-119.104711
California State University-Stanislaus,37.52577,-120.852511
California State University-San Bernardino,34.182622,-117.323801
California State Polytechnic University-Pomona,34.057912,-117.821476
California State University-Chico,39.729712,-121.844859
California State University-Dominguez Hills,33.864766,-118.255917
California State University-Fresno,36.811154,-119.744569
California State University-Fullerton,33.881506,-117.885446
California State University-East Bay,37.657694,-122.054135
California State University-Long Beach,33.782818,-118.11204
California State University-Los Angeles,34.066927,-118.168965
California State University-Northridge,34.240126,-118.529319
California State University-Sacramento,38.559415,-121.423549
University of California-Berkeley,37.871918,-122.260463
University of California-Davis,38.539667,-121.749567
University of California-Irvine,33.648434,-117.841248
University of California-Los Angeles,34.068892,-118.443901
University of California-Riverside,33.97246,-117.32741
University of California-San Diego,32.877749,-117.235866
University of California-San Francisco,37.763737,-122.458489
University of California-Santa Barbara,34.416297,-119.846426
University of California-Santa Cruz,36.995584,-122.058801
Sofia University,37.430325,-122.10866
California Beauty School,37.645217,-120.99689
California Christian College,36.749366,-119.711123
California Coast University,33.753135,-117.86524
California Hair Design Academy,32.765221,-117.024261
California Institute of the Arts,34.39327,-118.566837
California State University Maritime Academy,38.069061,-122.231551
California Western School of Law,32.722192,-117.162416
Canada College,37.44877,-122.265398
College of the Canyons,34.403993,-118.568698
Career Academy of Beauty,33.781018,-118.031697
Casa Loma College-Van Nuys,34.192829,-118.457781
CET-San Diego,32.711302,-117.105328
CET-San Jose,37.322723,-121.88698
CET-El Centro,32.790908,-115.549079
CET-Colton,34.077381,-117.353488
CET-Watsonville,36.931833,-121.767991
CET-Salinas,36.707333,-121.65236
Cerritos College,33.886874,-118.097337
Cerro Coso Community College,35.567525,-117.66767
Chabot College,37.642458,-122.105636
Chaffey College,34.147663,-117.573932
Chapman University,33.79302,-117.852518
Charles R Drew University of Medicine and Science,33.925658,-118.242791
Concordia University-Irvine,33.653665,-117.812305
San Diego Christian College,32.842404,-116.978112
Church Divinity School of the Pacific,37.876184,-122.261122
Citrus College,34.135487,-117.885266
Citrus Heights Beauty College,38.712951,-121.289529
City College of San Francisco,37.725953,-122.451155
Claremont Graduate University,34.103585,-117.713703
Claremont McKenna College,34.102154,-117.711188
Milan Institute-Visalia,36.27164,-119.312151
Clovis Adult Education,36.834459,-119.690369
Coastline Community College,33.715634,-117.929143
Cogswell College,37.414049,-121.94087
Coba Academy,33.841141,-117.943108
