INSTNM,STABBR,COSTT4_A,AVGFACSAL,MD_EARN_WNE_P10,ADM_RATE,SAT_AVG,DEBT_MDN,UGDS
Altierus Career College Everett,WA,22867,3636,29300,NULL,NULL,9500,451
Luna Community College,NM,9769,4166,25600,NULL,NULL,3500,868
Grabber School of Hair Design,MO,NULL,NULL,19700,NULL,NULL,15421,134
Yeshivah Gedolah Rabbinical College,FL,17300,4259,PrivacySuppressed,NULL,NULL,PrivacySuppressed,51
University of the District of Columbia-David A Clarke School of Law,DC,NULL,11381,33100,NULL,NULL,6225,NULL
Raphael's School of Beauty Culture Inc-Brunswick,OH,NULL,NULL,14400,NULL,NULL,5288.5,53
Caribbean University-Ponce,PR,8330,2604,17400,NULL,NULL,5500,1159
Caribbean University-Vega Baja,PR,8465,2195,17400,NULL,NULL,5500,483
University of Advancing Technology,AZ,33800,5279,45800,NULL,NULL,14590,959
Paradise Valley Community College,AZ,11978,8749,34800,NULL,NULL,3500,7068
Chandler-Gilbert Community College,AZ,12306,10030,37800,NULL,NULL,3500,9621
HSHS St. John's Hospital School of Clinical Laboratory Science,IL,NULL,NULL,PrivacySuppressed,NULL,NULL,17250,6
Madison Media Institute,WI,25678,5126,27500,NULL,NULL,9500,474
Sanford-Brown Institute-White Plains,NY,NULL,NULL,27700,NULL,NULL,9500,371
Sanford-Brown Institute-Garden City,NY,NULL,NULL,31000,NULL,NULL,9413,915
Great Plains Technology Center,OK,NULL,NULL,32000,NULL,NULL,PrivacySuppressed,296
Roane-Jackson Technical Center,WV,NULL,NULL,27600,NULL,NULL,PrivacySuppressed,39
Total Cosmetology Training Center,WA,NULL,NULL,PrivacySuppressed,NULL,NULL,6826,129
Iverson Business School,TX,NULL,NULL,21300,NULL,NULL,6332,2
Lawrence County Career and Technical Center-Practical Nursing Program,PA,NULL,NULL,39700,0.5912,NULL,16500,34
Pioneer Technology Center,OK,NULL,NULL,21000,NULL,NULL,PrivacySuppressed,421
Portage Lakes Career Center,OH,NULL,NULL,31400,NULL,NULL,6070,55
Eastern College of Health Vocations-New Orleans,LA,NULL,NULL,19600,NULL,NULL,3797,221
Bell Mar Beauty College,IL,NULL,NULL,18100,NULL,NULL,PrivacySuppressed,75
Cannella School of Hair Design-Chicago,IL,NULL,NULL,16200,NULL,NULL,PrivacySuppressed,52
Caddo Kiowa Technology Center,OK,NULL,NULL,19400,NULL,NULL,PrivacySuppressed,198
Brightwood College-San Antonio-San Pedro,TX,NULL,3394,23800,NULL,NULL,9296.5,645
Center for Instruction Technology & Innovation (CiTi),NY,NULL,NULL,32300,0.8442,NULL,6155,134
Le Cordon Bleu College of Culinary Arts-Austin,TX,20243,4623,32600,NULL,NULL,11042,655
The Art Institute of New York City,NY,31955,5314,30400,NULL,NULL,12000,1158
Paris II Educational Center,MO,NULL,NULL,18400,NULL,NULL,7030,94
International School of Skin Nailcare & Massage Therapy,GA,NULL,NULL,24700,NULL,NULL,4564,328
Palomar Institute of Cosmetology,CA,NULL,NULL,17100,NULL,NULL,8009.5,136
Southern Oklahoma Technology Center,OK,NULL,NULL,30800,NULL,NULL,PrivacySuppressed,92
Vista College,TX,24405,3602,20700,NULL,NULL,11740.5,2746
Autry Technology Center,OK,NULL,NULL,30000,0.9224,NULL,PrivacySuppressed,252
Greene County Vocational School District,OH,NULL,NULL,28400,NULL,NULL,6059.5,171
Canadian Valley Technology Center,OK,NULL,NULL,27000,NULL,NULL,PrivacySuppressed,360
Wilkes-Barre Area Career and Technical Center Practical Nursing,PA,NULL,NULL,37800,0.59,NULL,13017,119
Mayo Clinic Graduate School of Biomedical Sciences,MN,NULL,NULL,65900,NULL,NULL,7875,NULL
American Beauty Institute,OK,NULL,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,17
Meridian Technology Center,OK,NULL,NULL,23600,NULL,NULL,PrivacySuppressed,304
Waynesville Career Center,MO,NULL,NULL,34100,NULL,NULL,9500,55
Connecticut Institute of Hair Design,CT,NULL,NULL,PrivacySuppressed,NULL,NULL,7500,28
Capitol School of Hairstyling and Esthetics,NE,NULL,NULL,24400,NULL,NULL,7550,144
Morris County Vocational School District,NJ,NULL,NULL,PrivacySuppressed,0.4304,NULL,5500,43
Ross Medical Education Center-Roosevelt Park,MI,NULL,NULL,20400,NULL,NULL,9500,186
Ross Medical Education Center-Kentwood,MI,NULL,NULL,23600,NULL,NULL,9500,176
South Florida Bible College and Theological Seminary,FL,16588,2583,NULL,NULL,NULL,17436,107
Cloyd's Barber School 2 Inc,LA,NULL,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,27
Universal Technical Institute of Illinois Inc,IL,NULL,NULL,43700,NULL,NULL,13132,1343
Pennsylvania College of Technology,PA,27341,8807,40800,NULL,NULL,12000,5615
Commonwealth Institute of Funeral Service,TX,28929,6516,32300,NULL,NULL,8000,219
Delta College of Arts & Technology,LA,NULL,4486,28400,NULL,NULL,4000,678
InterCoast Colleges-Anaheim,CA,NULL,4061,22800,NULL,NULL,9500,4
Stone Child College,MT,12590,4910,16600,NULL,NULL,PrivacySuppressed,316
New York Academy of Art,NY,NULL,5057,NULL,NULL,NULL,PrivacySuppressed,NULL
Suffolk County Community College,NY,10819,8912,36500,NULL,NULL,3500,22701
Las Positas College,CA,10749,7824,35900,NULL,NULL,4750,7955
Blades School of Hair Design,MD,NULL,NULL,PrivacySuppressed,NULL,NULL,8878,92
Altamaha Technical College,GA,10786,4092,25100,NULL,NULL,PrivacySuppressed,1109
Ogeechee Technical College,GA,11269,4079,23500,NULL,NULL,4750,2149
Remington College-Mobile Campus,AL,27758,3389,26300,0.8588,NULL,9326,472
Everest College-Aurora,CO,27402,3794,26800,NULL,NULL,9500,383
Southern Technical College,FL,21030,4363,24400,NULL,NULL,12967,1261
Mercy-St Luke's School of Radiologic Technology,IA,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,24
ITT Technical Institute-Norwood,MA,27016,5722,38800,0.8854,NULL,12224,478
Southwest Acupuncture College-Santa Fe,NM,NULL,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,NULL
Northwest Technology Center-Alva,OK,NULL,NULL,18800,NULL,NULL,PrivacySuppressed,108
Mercer County Career Center,PA,NULL,NULL,30900,NULL,NULL,16500,40
ITT Technical Institute-Knoxville,TN,27050,4621,38800,0.9798,NULL,12224,400
ITT Technical Institute-Austin,TX,27074,5850,38800,0.9222,NULL,12224,432
ITT Technical Institute-Houston North,TX,26516,5472,38800,0.9424,NULL,12224,650
California State University-San Marcos,CA,20386,8357,45100,0.6251,966,12500,10689
Argosy University-Hawaii,HI,24733,6279,37800,NULL,NULL,6334,311
Baptist Theological Seminary at Richmond,VA,NULL,5815,NULL,NULL,NULL,PrivacySuppressed,NULL
Brightwood College-Modesto,CA,NULL,4822,21900,NULL,NULL,9419.5,490
Purdue University Global-Des Moines,IA,24518,4970,33500,NULL,NULL,9500,779
Hairmasters Institute of Cosmetology,IL,NULL,NULL,18000,NULL,NULL,9500,111
Tricoci University of Beauty Cuture LLC-Bloomington,IN,NULL,NULL,PrivacySuppressed,NULL,NULL,5500,74
Pinnacle Career Institute-Lawrence,KS,25151,3083,22400,NULL,NULL,8843,113
Interactive College of Technology-Newport,KY,16669,2678,20600,NULL,NULL,5668.5,30
Platt College-McCann-Monroe,LA,24901,3497,28900,NULL,NULL,8024,580
Empire Beauty School-Lowell,MA,NULL,NULL,21000,NULL,NULL,6222,116
Ross Medical Education Center-Taylor,MI,NULL,NULL,24400,NULL,NULL,9500,80
McNally Smith College of Music,MN,37924,4746,32400,0.6221,NULL,14593,556
Allied Health Careers,TX,NULL,3042,26700,NULL,NULL,9500,177
National Tractor Trailer School Inc-Liverpool,NY,NULL,NULL,35600,NULL,NULL,6365,179
Interactive College of Technology,TX,NULL,NULL,23500,NULL,NULL,4177,30
Star Career Academy-Brick,NJ,NULL,NULL,PrivacySuppressed,NULL,NULL,9104,267
Butler Beauty Academy-New Castle Beauty Academy,PA,NULL,NULL,14700,NULL,NULL,8000,34
NorthWest Arkansas Community College,AR,12052,6045,32500,NULL,NULL,5793,6698
Madera Beauty College,CA,NULL,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,55
Colorado Heights University,CO,11349,7083,PrivacySuppressed,NULL,NULL,PrivacySuppressed,343
Brewster Technical College,FL,NULL,NULL,17600,NULL,NULL,PrivacySuppressed,202
Hodges University,FL,23659,5132,38400,0.8281,NULL,8328,1864
Everest University-Lakeland,FL,26963,4782,24500,NULL,NULL,9500,449
Argosy University-Atlanta,GA,24208,6033,37800,NULL,NULL,6334,434
University of St. Augustine for Health Sciences,CA,NULL,7665,NULL,NULL,NULL,PrivacySuppressed,NULL
Capital Area School of Practical Nursing,IL,NULL,NULL,37700,NULL,NULL,9500,131
Hair Professionals Career College,IL,NULL,NULL,18500,NULL,NULL,7917,87
Alexandria School of Scientific Therapeutics,IN,NULL,NULL,21600,NULL,NULL,7862,30
Empire Beauty School-Bloomfield,NJ,NULL,NULL,17000,NULL,NULL,5500,180
Southwest Technology Center,OK,NULL,NULL,30400,NULL,NULL,PrivacySuppressed,104
Western Area Career & Technology Center,PA,NULL,NULL,38700,1,NULL,12712.5,90
Hussian College-Daymar College Clarksville,TN,28291,3684,22400,NULL,NULL,15729,497
Nossi College of Art,TN,21352,5000,24300,0.6077,NULL,19000,279
Seguin Beauty School-New Braunfels,TX,NULL,NULL,16100,NULL,NULL,6000.5,38
ITT Technical Institute-Norfolk,VA,27607,5051,38800,0.7917,NULL,12224,720
Pima Medical Institute-Seattle,WA,NULL,5391,27700,NULL,NULL,8313,787
Mineral County Vocational Technical Center,WV,NULL,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,25
Hypnosis Motivation Institute,CA,NULL,NULL,24100,NULL,NULL,9500,111
Los Angeles ORT College-Los Angeles Campus,CA,NULL,7778,20200,NULL,NULL,6372,396
Everest College-West Los Angeles,CA,28854,4649,25400,NULL,NULL,9500,422
Thanh Le College School of Cosmetology,CA,NULL,NULL,15300,NULL,NULL,PrivacySuppressed,40
Southeastern Technical College,GA,10716,4421,21500,NULL,NULL,4885,1351
Massachusetts School of Law,MA,NULL,12142,NULL,NULL,NULL,PrivacySuppressed,NULL
ITT Technical Institute-Albuquerque,NM,29349,5493,38800,0.712,NULL,12224,476
Community Services Division-Alliance City,OH,NULL,NULL,21300,NULL,NULL,5520,106
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,FL,NULL,NULL,36600,NULL,NULL,16000,3208
Erwin Technical College,FL,18374,NULL,28800,NULL,NULL,PrivacySuppressed,840
Rosel School of Cosmetology,IL,NULL,NULL,14600,NULL,NULL,PrivacySuppressed,80
Worsham College of Mortuary Science,IL,NULL,4167,49500,NULL,NULL,13000,108
Bryan University,MO,23368,NULL,23300,NULL,NULL,12095,431
Oregon College of Oriental Medicine,OR,NULL,4548,NULL,NULL,NULL,PrivacySuppressed,NULL
Central Pennsylvania Institute of Science and Technology,PA,NULL,NULL,PrivacySuppressed,NULL,NULL,6460,195
Northwest Educational Center,TX,NULL,NULL,22900,NULL,NULL,PrivacySuppressed,169
Sebring Career Schools-Houston,TX,NULL,NULL,17100,NULL,NULL,3500,98
PCI Health Training Center,TX,NULL,NULL,24900,NULL,NULL,5500,521
Windham Memorial Hospital-Radiologic Technology Program,CT,NULL,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,17
Bethel Seminary of the East,MD,NULL,6543,45100,NULL,NULL,18750,NULL
Miami-Jacobs Career College-Columbus,OH,27179,4112,24800,NULL,NULL,9500,304
Bryant & Stratton College-Solon,OH,21198,4359,22900,NULL,NULL,8283,613
Hamrick School,OH,NULL,NULL,PrivacySuppressed,NULL,NULL,5481,187
Alabama State College of Barber Styling,AL,NULL,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,26
Fortis College,AL,16035,3576,20500,NULL,NULL,8882,359
Arkansas Beauty School,AR,NULL,NULL,13900,NULL,NULL,7404,36
Everest College-Ontario,CA,NULL,NULL,23500,NULL,NULL,9500,782
Downey Adult School,CA,NULL,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,1317
Heald College-Stockton,CA,22157,4199,34600,NULL,NULL,6334,1409
Heald College-Hayward,CA,23574,3206,34600,NULL,NULL,6334,1244
CRU Institute of Cosmetology and Barbering,CA,NULL,NULL,12200,NULL,NULL,9500,55
Modern Technology School,CA,NULL,NULL,33600,0.7625,NULL,12416,83
National Career Education,CA,NULL,NULL,32200,NULL,NULL,8023,51
Everest College-Anaheim,CA,25872,1667,26400,NULL,NULL,9500,574
Thuy Princess Beauty College,CA,NULL,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,77
North-West College-Glendale,CA,NULL,NULL,27700,1,NULL,7024,177
Everest College-City of Industry,CA,25047,3268,25400,NULL,NULL,9500,1029
Fremont College,CA,NULL,4640,29700,NULL,NULL,15494,344
Pomona Unified School District Adult and Career Education,CA,NULL,NULL,18600,NULL,NULL,PrivacySuppressed,444
University of Phoenix-Online Campus,AZ,19605,5337,48400,NULL,NULL,9254,166816
University of Phoenix-San Diego Campus,CA,24094,3535,48400,NULL,NULL,9254,5339
Universal College of Beauty Inc-Los Angeles 2,CA,NULL,NULL,14500,NULL,NULL,PrivacySuppressed,32
IBMC College,CO,22787,3625,25000,NULL,NULL,13815.5,258
Xenon International Academy-Denver,CO,NULL,NULL,22600,NULL,NULL,10143,101
Academy of Cosmetology,FL,NULL,NULL,12900,NULL,NULL,5001,144
ITT Technical Institute-Lake Mary,FL,26832,5231,38800,0.5665,NULL,12224,269
Sunstate Academy,FL,NULL,NULL,16300,NULL,NULL,5479.5,224
Heritage Institute-Jacksonville,FL,NULL,2131,25400,NULL,NULL,12801.5,279
Fortis College-Smyrna,GA,27149,4699,26600,NULL,NULL,9500,617
Remington College-Honolulu Campus,HI,25592,3533,26300,0.7619,NULL,9326,495
Vatterott College-Des Moines,IA,24247,3824,26000,NULL,NULL,13000,239
Ross College-Quad Cities,IA,23762,4622,29600,NULL,NULL,9500,364
Pivot Point Academy,IL,NULL,NULL,24100,NULL,NULL,12500,175
Xenon International Academy-Kansas City,KS,NULL,NULL,19000,NULL,NULL,9833,53
Diesel Driving Academy-Baton Rouge,LA,NULL,NULL,PrivacySuppressed,NULL,NULL,6333,256
Jonesville Beauty School,LA,NULL,NULL,PrivacySuppressed,NULL,NULL,9500,36
New England Hair Academy,MA,NULL,NULL,17100,NULL,NULL,PrivacySuppressed,168
Rob Roy Academy-Worcester,MA,NULL,NULL,20500,NULL,NULL,6838.5,176
Upper Cape Cod Regional Technical School,MA,NULL,NULL,PrivacySuppressed,0.3022,NULL,9500,59
All-State Career-Baltimore,MD,NULL,NULL,36000,NULL,NULL,6333,1078
New England School of Communications,ME,24040,4044,28100,0.3005,NULL,16000,456
Everest Institute-Kalamazoo,MI,NULL,NULL,22900,NULL,NULL,9500,356
Adler Graduate School,MN,NULL,4884,NULL,NULL,NULL,PrivacySuppressed,NULL
Lebanon Technology and Career Center,MO,NULL,NULL,PrivacySuppressed,NULL,NULL,12330,26
Academy of Hair Design-Jackson,MS,NULL,NULL,16400,NULL,NULL,PrivacySuppressed,121
KC's School of Hair Design,MS,NULL,NULL,NULL,NULL,NULL,9833,76
Mitchells Hairstyling Academy-Goldsboro,NC,NULL,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,46
Lincoln Technical Institute-Moorestown,NJ,NULL,NULL,27700,NULL,NULL,7528,579
Monmouth County Vocational School District,NJ,NULL,NULL,33000,NULL,NULL,3500,98
Brightwood College-Las Vegas,NV,NULL,6613,25000,NULL,NULL,9418,994
Beauty School of Middletown,NY,NULL,NULL,18400,NULL,NULL,6307.5,68
Bryant & Stratton College-Southtowns,NY,21450,4311,22900,NULL,NULL,8283,499
Continental School of Beauty Culture-Olean,NY,NULL,NULL,17800,NULL,NULL,7958.5,78
National Tractor Trailer School Inc-Buffalo,NY,NULL,NULL,35600,NULL,NULL,6365,89
Yeshiva Gedolah Imrei Yosef D'spinka,NY,15948,3295,13100,NULL,NULL,PrivacySuppressed,125
Cleveland Institute of Dental-Medical Assistants-Mentor,OH,NULL,NULL,21800,NULL,NULL,9500,135
Cleveland Institute of Dental-Medical Assistants-Lyndhurst,OH,NULL,NULL,21800,NULL,NULL,9500,64
Knox County Career Center,OH,NULL,NULL,25600,NULL,NULL,8618,252
Madison Adult Career Center,OH,NULL,NULL,PrivacySuppressed,NULL,NULL,5667,145
Remington College-Cleveland Campus,OH,27141,3292,26300,0.7526,NULL,9326,438
Brown Mackie College-Findlay,OH,23464,3492,29600,NULL,NULL,9500,448
Toledo Academy of Beauty Culture-East,OH,NULL,NULL,16500,NULL,NULL,7916,111
U S Grant Joint Vocational School,OH,9100,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,18
CC's Cosmetology College,OK,NULL,NULL,14600,NULL,NULL,9500,47
Chisholm Trail Technology Center,OK,NULL,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,96
Gordon Cooper Technology Center,OK,NULL,NULL,34200,NULL,NULL,PrivacySuppressed,923
Kiamichi Technology Center-Atoka,OK,NULL,NULL,22700,NULL,NULL,PrivacySuppressed,26
Kiamichi Technology Center-Durant,OK,NULL,NULL,22700,NULL,NULL,PrivacySuppressed,288
Kiamichi Technology Center-Hugo,OK,NULL,NULL,22700,NULL,NULL,PrivacySuppressed,60
Kiamichi Technology Center-McAlester,OK,NULL,NULL,22700,NULL,NULL,PrivacySuppressed,195
Kiamichi Technology Center-Idabel,OK,NULL,NULL,22700,NULL,NULL,PrivacySuppressed,75
Kiamichi Technology Center-Poteau,OK,NULL,NULL,22700,NULL,NULL,PrivacySuppressed,246
Kiamichi Technology Center-Spiro,OK,NULL,NULL,22700,NULL,NULL,PrivacySuppressed,26
Kiamichi Technology Centers-Talihina Campus,OK,NULL,NULL,22700,NULL,NULL,PrivacySuppressed,52
Le Cordon Bleu College of Culinary Arts-Portland,OR,21016,4242,30100,NULL,NULL,11094,563
YTI Career Institute-Altoona,PA,NULL,3746,23500,NULL,NULL,8990,405
Eastern Center for Arts and Technology,PA,NULL,NULL,49100,0.5,NULL,9500,142
Empire Beauty School-Center City Philadelphia,PA,NULL,NULL,17200,NULL,NULL,6000,337
Sanford-Brown Institute-Wilkins Township,PA,NULL,3665,24300,NULL,NULL,15533,96
CEM College-Humacao,PR,11666,1818,18500,NULL,NULL,2333,743
Colegio Mayor de Tecnologia Inc,PR,NULL,NULL,14900,NULL,NULL,PrivacySuppressed,87
Institucion Chaviano de Mayaguez,PR,NULL,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,82
EDIC College,PR,9253,2159,16600,0.9001,NULL,PrivacySuppressed,752
Liceo de Arte-Dise-O y Comercio,PR,9682,NULL,15300,NULL,NULL,PrivacySuppressed,325
Universal Technology College of Puerto Rico,PR,NULL,2194,16000,NULL,NULL,PrivacySuppressed,1260
Academy of Hair Technology,SC,NULL,NULL,14500,NULL,NULL,5000,84
Mr Wayne's School of Unisex Hair Design,TN,NULL,NULL,PrivacySuppressed,NULL,NULL,6095,37
The Center for Cosmetology Education,TN,NULL,NULL,17100,NULL,NULL,5750,30
Queen City College,TN,NULL,NULL,18000,NULL,NULL,4750,119
College of the Marshall Islands,MH,8323,3366,PrivacySuppressed,0.7367,NULL,PrivacySuppressed,988
American National College,TX,NULL,NULL,17000,NULL,NULL,6133,102
ITT Technical Institute-San Antonio,TX,26492,5154,38800,0.9303,NULL,12224,585
Remington College-Fort Worth Campus,TX,27701,3467,26300,0.8558,NULL,9326,408
UCAS University of Cosmetology Arts & Sciences,TX,NULL,NULL,14300,NULL,NULL,2591,35
School of Automotive Machinists & Technology,TX,NULL,4884,51500,0.8889,NULL,9500,156
SW School of Business and Technical Careers-Cosmetology,TX,NULL,NULL,PrivacySuppressed,NULL,NULL,2649,59
SW School of Business and Technical Careers,TX,NULL,NULL,15400,NULL,NULL,4123,68
Texas College of Cosmetology-Abilene,TX,NULL,NULL,16500,NULL,NULL,PrivacySuppressed,82
Vista College-Online,TX,NULL,4333,24700,NULL,NULL,8493.5,207
Centura College-Newport News,VA,28639,3661,23200,NULL,NULL,14750,138
Centura College-Norfolk,VA,27455,3838,23200,NULL,NULL,14750,260
Virginia Beach City Public Schools School of Practical Nursing,VA,NULL,NULL,NULL,0.625,NULL,PrivacySuppressed,30
Northwest College of Art & Design,WA,31639,NULL,28300,0.8235,NULL,26250,94
University of Washington-Bothell Campus,WA,22800,9302,54800,0.7568,1014,12500,4077
University of Washington-Tacoma Campus,WA,22185,8510,54800,0.8523,963,12500,3587
Huntington School of Beauty Culture,WV,NULL,NULL,12000,NULL,NULL,PrivacySuppressed,125
Valley College-Beckley,WV,32516,4167,17700,NULL,NULL,8848,223
Valley College-Martinsburg,WV,NULL,NULL,22800,NULL,NULL,8600,55
Valley College-Princeton,WV,NULL,NULL,17100,NULL,NULL,8400,66
Bellus Academy-Poway,CA,NULL,NULL,18100,NULL,NULL,8761.5,372
Capstone College,CA,NULL,NULL,26900,NULL,NULL,6096,50
Central Coast College,CA,NULL,NULL,30200,0.6454,NULL,5500,233
ITT Technical Institute-Torrance,CA,24989,5976,38800,0.9357,NULL,12224,457
Pacific College of Oriental Medicine-San Diego,CA,24166,3803,18700,NULL,NULL,12500,124
Artistic Nails and Beauty Academy-Tampa,FL,NULL,NULL,PrivacySuppressed,NULL,NULL,6333,198
National Aviation Academy of Tampa Bay,FL,NULL,NULL,40700,NULL,NULL,22000,692
Sanford-Brown Institute-Tampa,FL,21842,3959,27900,NULL,NULL,9500,317
Cain's Barber College Inc,IL,NULL,NULL,14900,NULL,NULL,3500,85
Madison Oneida BOCES-Practical Nursing Program,NY,NULL,NULL,29600,NULL,NULL,5500,51
Astrodome Career Centers,TX,NULL,NULL,NULL,NULL,NULL,3167,46
Center for Advanced Legal Studies,TX,NULL,4875,40600,0.3333,NULL,12106,125
Houston Training School-Main Campus,TX,NULL,NULL,16400,NULL,NULL,PrivacySuppressed,177
Remington College-Houston Campus,TX,27522,3738,26300,0.7815,NULL,9326,354
Bay Mills Community College,MI,11451,4744,22800,NULL,NULL,PrivacySuppressed,514
Fond du Lac Tribal and Community College,MN,13956,7147,28000,NULL,NULL,8220,996
Northwest Indian College,WA,11162,3630,25900,NULL,NULL,PrivacySuppressed,653
Marinello Schools of Beauty-Provo,UT,NULL,NULL,11000,NULL,NULL,7171,79
Provo College,UT,22982,5468,22200,NULL,NULL,11302.5,307
Paul Mitchell the School-Provo,UT,NULL,NULL,19900,NULL,NULL,9833,132
University of Phoenix-Utah,UT,24514,2116,48400,NULL,NULL,9254,958
Cortiva Institute-Salt Lake,UT,NULL,NULL,24500,NULL,NULL,7908,346
CET-Coachella,CA,NULL,NULL,22000,NULL,NULL,5109,187
CET-Oxnard,CA,NULL,NULL,22000,NULL,NULL,5109,133
CET-Santa Maria,CA,NULL,NULL,22000,NULL,NULL,5109,155
CET-Rancho Temecula,CA,NULL,NULL,22000,NULL,NULL,5109,72
Colorado School of Traditional Chinese Medicine,CO,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL
Massage Therapy Institute of Colorado,CO,NULL,NULL,PrivacySuppressed,NULL,NULL,9500,82
Michigan College of Beauty-Troy,MI,NULL,NULL,17100,NULL,NULL,6333,301
Ogle School Hair Skin Nails-Dallas,TX,NULL,NULL,19900,NULL,NULL,7662,231
Phoenix Seminary,AZ,NULL,5924,NULL,NULL,NULL,PrivacySuppressed,NULL
Faust Institute of Cosmetology-Spirit Lake,IA,NULL,NULL,PrivacySuppressed,NULL,NULL,12000,14
Seattle Vocational Institute,WA,8395,NULL,31600,NULL,NULL,4000,229
Baker College of Port Huron,MI,16669,4821,26400,NULL,NULL,8471,1036
Empire Beauty School-Hyannis,MA,NULL,NULL,17200,NULL,NULL,6000,77
Brookstone College-Greensboro,NC,NULL,NULL,24600,NULL,NULL,7693,154
Cheeks Beauty Academy,CO,NULL,NULL,15900,NULL,NULL,5632,34
Cheeks International Academy of Beauty Culture-Greeley,CO,NULL,NULL,15900,NULL,NULL,5632,39
Colorado School of Healing Arts,CO,26446,NULL,28500,NULL,NULL,13042,199
Remington College-Colorado Springs Campus,CO,NULL,NULL,26000,NULL,NULL,9145.5,7
Empire Beauty School-Arvada,CO,NULL,NULL,17000,NULL,NULL,5500,52
Westwood College-Aurora Campus,CO,25962,4120,35000,NULL,NULL,19667.5,275
Healing Arts Institute,CO,NULL,NULL,NULL,NULL,NULL,5277,50
ITT Technical Institute-San Bernardino,CA,24858,6039,38800,0.9367,NULL,12224,730
Los Angeles ORT College-Van Nuys Campus,CA,NULL,NULL,20200,NULL,NULL,6372,19
University of Phoenix-Puerto Rico,PR,18886,1910,48400,NULL,NULL,9254,437
Mt. Diablo Adult Education-Mt. Diablo USD,CA,NULL,NULL,26600,NULL,NULL,PrivacySuppressed,176
Royale College of Beauty and Barbering,CA,NULL,NULL,15600,NULL,NULL,6333,54
Westech College,CA,NULL,NULL,25500,NULL,NULL,9399,484
Greater Lowell Technical School,MA,NULL,NULL,49200,1,NULL,5500,80
Academy of Hair Design-Pearl,MS,NULL,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,65
King's College,NC,20324,4868,27200,0.8917,NULL,11765,442
Miller-Motte Technical College-Clarksville,TN,24851,3639,23000,NULL,NULL,8880.5,524
Genesis Career College-Lebanon,TN,NULL,NULL,13900,NULL,NULL,6000,247
Brightwood College-Dallas,TX,NULL,4418,31400,NULL,NULL,8933,357
Star College of Cosmetology 2,TX,NULL,NULL,14600,NULL,NULL,2821,90
Southwest Collegiate Institute for the Deaf,TX,10599,4621,29200,NULL,NULL,3500,147
Fortis College-Richmond,VA,24939,5493,23500,NULL,NULL,9288,457
Midwest College of Oriental Medicine-Racine,WI,NULL,3467,PrivacySuppressed,NULL,NULL,12250,20
Hacienda La Puente Adult Education,CA,NULL,NULL,23000,NULL,NULL,PrivacySuppressed,3704
La Belle Beauty Academy,FL,NULL,NULL,13600,NULL,NULL,5500,435
Advanced Technical Centers,FL,NULL,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,35
Hawaii Community College,HI,13013,7294,27100,NULL,NULL,5264.5,2922
Regency Beauty Institute-Winston-Salem,NC,NULL,NULL,13800,NULL,NULL,8885,97
Robert Fiance Beauty Schools-North Plainfield,NJ,NULL,NULL,17100,NULL,NULL,7454,185
Long Island Beauty School-Hauppauge,NY,NULL,NULL,18800,NULL,NULL,7372,311
Buckeye Joint Vocational School,OH,NULL,NULL,28300,NULL,NULL,PrivacySuppressed,89
Sandusky Career Center,OH,NULL,NULL,PrivacySuppressed,NULL,NULL,5500,95
Greater Altoona Career & Technology Center,PA,NULL,NULL,27100,NULL,NULL,8659,264
Northeastern Hospital School of Nursing,PA,NULL,NULL,PrivacySuppressed,NULL,NULL,15333,72
Central Texas Beauty College-Temple,TX,NULL,NULL,16900,NULL,NULL,PrivacySuppressed,132
Dance Theatre of Harlem Inc,NY,29687,NULL,NULL,0.4783,NULL,PrivacySuppressed,11
Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,NY,NULL,NULL,31100,NULL,NULL,9500,85
Empire Beauty School-Brooklyn,NY,NULL,NULL,16900,NULL,NULL,6513,63
Houston Training School-Gulfgate,TX,NULL,NULL,16400,NULL,NULL,PrivacySuppressed,277
Star Career Academy-Philadelphia,PA,NULL,NULL,31600,NULL,NULL,8762.5,838
Antonelli College-Hattiesburg,MS,26308,3432,21100,NULL,NULL,11149,256
Eastern New Mexico University Ruidoso Branch Community College,NM,13544,5295,29300,NULL,NULL,6500,568
The Bryman School of Arizona,AZ,30796,3672,26600,NULL,NULL,9488.5,594
