INSTNM,STABBR,COSTT4_A,AVGFACSAL,MD_EARN_WNE_P10,ADM_RATE,SAT_AVG,DEBT_MDN,UGDS
Claremont Graduate University,CA,NULL,13536,62700,NULL,NULL,6000,NULL
Claremont McKenna College,CA,60065,12517,75000,0.1173,1397,11238,1311
Milan Institute-Visalia,CA,NULL,NULL,23500,NULL,NULL,8971,354
Clovis Adult Education,CA,NULL,NULL,34500,NULL,NULL,PrivacySuppressed,608
Coastline Community College,CA,11569,9444,31700,NULL,NULL,5125,8999
Cogswell College,CA,32243,7785,54600,0.7784,NULL,9500,457
Coleman University,CA,29842,3645,42000,1,NULL,17734,532
Coba Academy,CA,NULL,NULL,18800,NULL,NULL,10756,40
Western University of Health Sciences,CA,NULL,9559,129500,NULL,NULL,PrivacySuppressed,NULL
Columbia College,CA,12210,8447,24800,NULL,NULL,PrivacySuppressed,2425
Columbia College Hollywood,CA,30642,4167,31700,0.548,NULL,21798,314
Compton College,CA,12723,8037,31300,NULL,NULL,3627.5,6846
Contra Costa College,CA,15105,8041,29800,NULL,NULL,4250,5468
Cosumnes River College,CA,13537,8084,27500,NULL,NULL,4750,12852
Crafton Hills College,CA,16696,4905,32600,NULL,NULL,PrivacySuppressed,4716
Cuesta College,CA,15169,7169,35000,NULL,NULL,5500,7964
Cuyamaca College,CA,7866,7401,26500,NULL,NULL,3500,7778
Cypress College,CA,10174,10467,33900,NULL,NULL,4750,14923
De Anza College,CA,10046,8848,40000,NULL,NULL,4500,20496
Marinello Schools of Beauty-Hemet,CA,NULL,NULL,13200,NULL,NULL,6584,1330
International School of Beauty Inc,CA,NULL,NULL,PrivacySuppressed,NULL,NULL,6396,229
Dell'Arte International School of Physical Theatre,CA,NULL,1895,PrivacySuppressed,0.6667,NULL,PrivacySuppressed,14
College of the Desert,CA,14046,9518,29500,NULL,NULL,4500,8330
Design Institute of San Diego,CA,29477,5000,33900,NULL,NULL,21000,181
Diablo Valley College,CA,14386,8198,37900,NULL,NULL,3500,18566
Dominican University of California,CA,56165,8770,51900,0.7752,1057,25000,1567
Dominican School of Philosophy & Theology,CA,NULL,2739,NULL,NULL,NULL,PrivacySuppressed,NULL
East Los Angeles College,CA,14901,6777,30100,NULL,NULL,4500,33439
Marinello Schools of Beauty-Santa Clara,CA,NULL,NULL,PrivacySuppressed,NULL,NULL,7415,566
El Camino Community College District,CA,16018,8473,31300,NULL,NULL,3627.5,22222
Elegance International,CA,NULL,NULL,16400,NULL,NULL,6333,205
Marinello Schools of Beauty-Burbank,CA,NULL,NULL,13900,NULL,NULL,9233,397
Marinello Schools of Beauty-Moreno Valley,CA,NULL,NULL,14000,NULL,NULL,8725,254
Emperor's College of Traditional Oriental Medicine,CA,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL
Empire College,CA,NULL,3721,34000,NULL,NULL,12500,412
Evergreen Valley College,CA,14405,9471,35000,NULL,NULL,4500,7472
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,CA,42958,2756,35200,0.5701,NULL,12000,3459
FIDM-Fashion Institute of Design & Merchandising-San Francisco,CA,42052,2367,35200,0.6358,NULL,12000,637
FIDM-Fashion Institute of Design & Merchandising-Orange County,CA,38721,2525,35200,0.6915,NULL,12000,214
Feather River Community College District,CA,14908,6070,25600,NULL,NULL,5351,1444
Federico Beauty Institute,CA,NULL,NULL,24900,NULL,NULL,6333,246
Fielding Graduate University,CA,NULL,6026,NULL,NULL,NULL,PrivacySuppressed,NULL
Five Branches University,CA,NULL,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,NULL
Hair California Beauty Academy,CA,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,47
Foothill College,CA,10399,8665,45700,NULL,NULL,6000,13362
Franciscan School of Theology,CA,NULL,4784,NULL,NULL,NULL,PrivacySuppressed,NULL
Fredrick and Charles Beauty College,CA,NULL,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,83
Fresno City College,CA,10804,8390,26600,NULL,NULL,3000,18888
Fresno Pacific University,CA,33973,6562,41000,0.7844,979,12895,2496
Fuller Theological Seminary,CA,NULL,7127,PrivacySuppressed,NULL,NULL,PrivacySuppressed,NULL
Fullerton College,CA,10533,10472,32800,NULL,NULL,4750,22295
Gavilan College,CA,11544,8319,27300,NULL,NULL,4500,5267
Gemological Institute of America-Carlsbad,CA,NULL,NULL,40300,NULL,NULL,8233,192
Glendale Community College,CA,8859,8263,31900,NULL,NULL,5250,14102
Glendale Career College,CA,NULL,NULL,28100,1,NULL,8430,293
Golden Gate University-San Francisco,CA,NULL,10541,69200,NULL,NULL,13576.5,470
Golden West College,CA,16230,9546,30400,NULL,NULL,4750,11689
Graduate Theological Union,CA,NULL,7045,NULL,NULL,NULL,PrivacySuppressed,NULL
Grossmont College,CA,7759,7678,33100,NULL,NULL,3500,17042
Salon Success Academy-Riverside,CA,NULL,NULL,14200,NULL,NULL,10515.5,30
