INSTNM,DEBT_MDN,COSTT4_A,ADM_RATE,SAT_AVG,UGDS,AVGFACSAL,MD_EARN_WNE_P10
Pace Institute,10587,14409,NULL,NULL,65,NULL,24800
Peirce College,10200,19700,NULL,NULL,1754,6679,46500
Penn Commercial Business/Technical School,10566.5,28652,0.9524,NULL,346,2000,27900
Pennco Tech-Bristol,9000,NULL,NULL,NULL,559,4676,33200
Pennsylvania Academy of Cosmetology Arts and Sciences-Du Bois,8028,NULL,NULL,NULL,56,NULL,14300
Pennsylvania Academy of the Fine Arts,22750,43656,0.8406,NULL,198,5781,15200
Pennsylvania Gunsmith School,12000,NULL,NULL,NULL,75,NULL,PrivacySuppressed
Pennsylvania Institute of Taxidermy Inc,9500,NULL,NULL,NULL,6,NULL,PrivacySuppressed
Cortiva Institute-King of Prussia,6861,NULL,NULL,NULL,112,NULL,PrivacySuppressed
Pennsylvania College of Art and Design,21500,28860,0.3614,NULL,222,3751,23900
University of Pennsylvania,12500,59600,0.1224,1442,10606,15460,82400
Jefferson (Philadelphia University + Thomas Jefferson University),23500,46451,0.6408,1062,2791,7818,49100
The University of the Arts,24250,52401,0.7539,1010,1865,6980,30800
Cairn University-Langhorne,18246,32509,0.5131,1008,840,5653,33500
Philadelphia College of Osteopathic Medicine,3000,NULL,NULL,NULL,NULL,NULL,177600
University of the Sciences,27000,49327,0.5635,1165,1830,8000,91800
Community College of Philadelphia,3500,11539,NULL,NULL,18204,6211,31100
University of Pittsburgh-Bradford,20073,23732,0.8532,973,1456,7007,50700
University of Pittsburgh-Greensburg,20073,23343,0.9311,1017,1677,6552,50700
University of Pittsburgh-Johnstown,20073,23709,0.9038,1021,2837,6624,50700
University of Pittsburgh-Pittsburgh Campus,20073,30410,0.5613,1258,18304,9533,50700
University of Pittsburgh-Titusville,20073,22596,0.954,878,363,5949,50700
Beaver Falls Beauty Academy,7400,NULL,NULL,NULL,49,NULL,16700
Pittsburgh Institute of Aeronautics,12000,26732,NULL,NULL,354,3408,53600
Pittsburgh Institute of Mortuary Science Inc,16653,NULL,0.7615,NULL,232,7971,37700
Pittsburgh Technical College,13291,27593,NULL,NULL,1841,4696,33900
Pittsburgh Theological Seminary,PrivacySuppressed,NULL,NULL,NULL,NULL,9135,NULL
Prism Career Institute-Upper Darby,11257,40651,NULL,NULL,315,1656,30400
Point Park University,19125,36726,0.7393,997,3164,7853,35800
Joseph F McCloskey School of Nursing at Schuylkill Health,14000,NULL,NULL,NULL,64,NULL,PrivacySuppressed
The Salon Professional Academy-Altoona,8027,NULL,NULL,NULL,29,NULL,14300
Reading Area Community College,5660,14208,NULL,NULL,4028,7286,30000
Reading Hospital School of Health Sciences,11449,21912,0.281,957,367,NULL,59200
Reconstructionist Rabbinical College,PrivacySuppressed,NULL,NULL,NULL,NULL,6683,NULL
Reformed Presbyterian Theological Seminary,PrivacySuppressed,NULL,NULL,NULL,3,4846,NULL
The Restaurant School at Walnut Hill College,12000,34280,NULL,NULL,427,5742,31800
Brightwood Career Institute-Broomall,8593.5,NULL,NULL,NULL,510,4087,28100
Robert Morris University,19500,38274,0.8051,1041,4459,9890,44400
Rosedale Technical College,12265,26481,NULL,NULL,684,3667,33000
Rosemont College,19135,45067,0.5838,927,511,5011,44700
Saint Francis University,24500,42492,0.7606,1026,1665,7194,48200
Saint Joseph's University,19500,52779,0.7873,1110,5265,7113,57600
Saint Vincent College,23441,41591,0.6875,1035,1532,7116,47400
Saint Vincent Seminary,23441,NULL,NULL,NULL,NULL,3855,47400
Schuylkill Technology Center,7306,NULL,NULL,NULL,86,NULL,37200
University of Scranton,25250,51962,0.7503,1121,3834,9400,56600
Seton Hill University,19937.5,40497,0.652,1032,1550,6822,39400
University of Pittsburgh Medical Center-Shadyside School of Nursing,11183,29814,0.8387,930,346,NULL,51200
Sharon Regional School of Nursing,11025,NULL,NULL,NULL,35,NULL,PrivacySuppressed
Laurel Technical Institute,9768.5,12977,0.7418,NULL,285,2412,20900
Shippensburg University of Pennsylvania,16000,20840,0.8341,980,6493,9483,44400
Slippery Rock University of Pennsylvania,19000,21303,0.6698,1002,7544,9336,39600
Saint Charles Borromeo Seminary-Overbrook,18999.5,36410,0.8571,NULL,53,3632,PrivacySuppressed
South Hills Beauty Academy,4380,NULL,NULL,NULL,92,NULL,17500
South Hills School of Business & Technology,14501,26582,0.9634,NULL,662,3936,29800
St Lukes Hospital School of Nursing,11100,NULL,NULL,NULL,139,NULL,52800
The Beauty School,9583,NULL,NULL,NULL,44,NULL,PrivacySuppressed
Susquehanna University,21000,49025,0.7233,1129,2138,7970,52500
Swarthmore College,16807,58481,0.1432,1442,1524,12138,52500
Thaddeus Stevens College of Technology,5500,13650,0.3818,NULL,883,7290,39700
Talmudical Yeshiva of Philadelphia,PrivacySuppressed,17900,0.7273,NULL,124,3194,PrivacySuppressed
Temple University,20000,27247,0.6387,1121,27511,9648,48600
Thiel College,17754,39573,0.655,967,1045,6301,36900
Thomas Jefferson University,12500,NULL,NULL,NULL,664,8058,87400
Fortis Institute-Erie,9932,26097,NULL,NULL,851,4411,22900
Triangle Tech Inc-Erie,15931.5,26420,NULL,NULL,63,3558,35700
Triangle Tech Inc-Pittsburgh,16759,25506,NULL,NULL,251,3544,37400
Triangle Tech Inc-Greensburg,12000,21659,NULL,NULL,171,3489,42500
Triangle Tech Inc-Dubois,12000,25457,NULL,NULL,184,3582,38300
Trinity Episcopal School for Ministry,PrivacySuppressed,NULL,NULL,NULL,NULL,5420,NULL
Ursinus College,27000,57163,0.6633,1182,1578,8769,53700
University of Valley Forge,19500,29736,0.6585,977,767,4733,29900
Valley Forge Military College,9500,43500,0.7484,913,268,4455,43700
Venus Beauty Academy,5500,NULL,NULL,NULL,112,NULL,18800
Villanova University,24213,56265,0.489,1316,6856,10425,74500
Washington Hospital School of Nursing,16000,24119,0.25,NULL,76,NULL,50700
Washington Hospital School of Radiologic Technology,16000,NULL,NULL,NULL,25,NULL,50700
Washington & Jefferson College,26977,49507,0.3973,NULL,1300,7571,51600
Waynesburg University,21140,28822,0.7523,1015,1559,6633,43600
Welder Training and Testing Institute,9500,NULL,NULL,NULL,88,NULL,PrivacySuppressed
West Chester University of Pennsylvania,18240,24997,0.5156,1105,13456,8909,46700
Western Pennsylvania Hospital School of Nursing,12000,17603,0.1296,NULL,95,NULL,48700
Pittsburgh Career Institute,15533,20044,NULL,NULL,438,4537,24300
Westminster College,25250,42474,0.7336,1040,1313,6470,42200
Westminster Theological Seminary,PrivacySuppressed,NULL,NULL,NULL,NULL,6821,NULL
Westmoreland County Community College,4250,6230,NULL,NULL,5471,6460,30700
Widener University,18500,50294,0.6726,1025,3188,7473,53200
Wilkes University,17500,42612,0.7598,1060,2281,8186,50300
Wilson College,18826,39818,0.5267,993,468,6535,33600
Yeshivath Beth Moshe,PrivacySuppressed,13975,NULL,NULL,52,3826,PrivacySuppressed
York College of Pennsylvania,19500,27266,0.7351,1045,4847,8887,48000
YTI Career Institute-York,9500,NULL,NULL,NULL,2027,3886,36300
Yorktowne Business Institute,14750,23415,NULL,NULL,122,3608,24200
Empire Beauty School-Providence,6000,NULL,NULL,NULL,135,NULL,17200
Brown University,15500,58140,0.0918,1425,6182,13381,63100
Bryant University,25990,50858,0.7655,1137,3263,12905,66200
Johnson & Wales University-Providence,18700,40136,0.7602,NULL,9067,8309,36600
Sanford-Brown Institute-Cranston,9500,NULL,NULL,NULL,125,NULL,35200
New England Institute of Technology,12000,30656,NULL,NULL,2860,6127,40000
New England Tractor Trailer Training School of Rhode Island,6256,NULL,NULL,NULL,157,NULL,39000
Newport School of Hairdressing-Main Campus,6804,NULL,NULL,NULL,36,NULL,13600
Providence College,27000,56184,0.5979,1158,3969,9471,60700
Rhode Island College,12000,14858,0.6915,930,7253,7607,39600
Community College of Rhode Island,3396,10617,NULL,NULL,16856,6781,29300
University of Rhode Island,15750,26262,0.7871,1076,13008,9144,49800
Rhode Island School of Design,23276,59597,0.2731,1239,2005,7949,46800
Roger Williams University,19500,48476,0.8098,NULL,4403,11045,48900
Salve Regina University,25000,48219,0.6706,1109,1989,7425,50700
St Joseph School of Nursing,23000,23520,NULL,NULL,122,NULL,PrivacySuppressed
Empire Beauty School-Warwick,7583,NULL,NULL,NULL,88,NULL,19100
Northpoint Bible College,15500,23281,NULL,NULL,358,6545,27400
Aiken Technical College,4512,10179,NULL,NULL,2490,5492,24500
Allen University,12000,21447,NULL,NULL,651,4811,21800
Anderson University,16500,35340,0.6502,1079,2381,6409,34300
Charleston Southern University,13500,33245,0.6887,973,2904,6087,35900
Technical College of the Lowcountry,4000,9742,NULL,NULL,2262,5504,26100
Benedict College,14250,30534,NULL,NULL,2512,5444,22100
Bob Jones University,11000,25781,0.8241,1070,2755,3834,PrivacySuppressed
Southern Wesleyan University,17962.5,31054,0.937,916,1314,5258,40200
Charleston Cosmetology Institute,5400,NULL,NULL,NULL,106,NULL,19900
College of Charleston,14622,25086,0.7031,1165,10150,7747,39700
Charzanne Beauty College,3500,NULL,NULL,NULL,59,NULL,19800
Northeastern Technical College,PrivacySuppressed,13226,NULL,NULL,1022,3847,22400
Citadel Military College of South Carolina,18358,24827,0.8041,1080,2660,8115,54900
Claflin University,18000,29849,0.526,873,1803,6217,28100
Clemson University,18692,27944,0.5787,1259,16801,9907,50900
Clinton College,9050,11215,NULL,NULL,185,3408,18300
Coker College,14500,32029,0.5326,956,1131,6032,31500
Columbia International University,14625,28141,0.6258,1055,574,4559,29900
Columbia College,20819,37599,0.6499,1027,995,5435,33500
Converse College,14250,39748,0.5201,1072,744,6284,31000
Denmark Technical College,5500,11709,NULL,NULL,1804,4346,15700
Erskine College,19500,45198,0.6973,1010,574,5887,37500
Florence-Darlington Technical College,4750,11747,NULL,NULL,5913,5525,24900
Forrest College,8479,22865,NULL,NULL,135,NULL,21600
Francis Marion University,14750,19965,0.5667,938,3380,7223,32500
Furman University,20000,55434,0.6397,1237,2777,8957,45900
Greenville Technical College,7709,13716,NULL,NULL,12087,5269,30600
Horry-Georgetown Technical College,6250,12890,NULL,NULL,7002,5510,24900
Kenneth Shuler School of Cosmetology-North Augusta,8003,NULL,NULL,NULL,85,NULL,16000
Kenneth Shuler School of Cosmetology and Nails-Columbia,6210,NULL,NULL,NULL,83,NULL,14900
Lander University,13500,21628,0.4216,945,2750,5675,33600
Limestone College,12500,34658,0.5322,1010,3150,4816,36700
Lenoir-Rhyne University-Lutheran Theological Southern Seminary,PrivacySuppressed,NULL,NULL,NULL,NULL,5604,NULL
Medical University of South Carolina,3000,NULL,NULL,NULL,205,10075,81200
Midlands Technical College,4009,11399,NULL,NULL,11214,6006,28700
Morris College,9947,20419,NULL,NULL,822,5074,23300
Newberry College,20000,37837,0.5908,938,1032,5099,32200
North Greenville University,10500,28373,0.5791,1137,2068,5568,31300
Orangeburg Calhoun Technical College,3500,12312,NULL,NULL,2399,4830,25200
Piedmont Technical College,4750,13076,NULL,NULL,5399,4996,25200
Presbyterian College,17510,45130,0.66,1121,1069,7217,42000
University of South Carolina-Aiken,11602,18466,0.5122,973,2956,6243,35800
University of South Carolina-Beaufort,9500,19354,0.7304,932,1716,6410,33000
University of South Carolina-Columbia,16992,23685,0.606,1200,23987,9514,43000
University of South Carolina-Lancaster,16992,16937,0.888,865,1053,5596,43000
University of South Carolina-Salkehatchie,5500,19403,0.7313,789,773,5149,27000
University of South Carolina-Sumter,5775,16781,0.5456,927,672,5559,32400
University of South Carolina-Union,6150.5,17501,0.7692,826,285,5419,31500
Coastal Carolina University,11650,21601,0.7404,993,8570,7130,37100
South Carolina State University,16500,25265,0.5079,851,2876,6666,28400
University of South Carolina-Upstate,12811,20848,0.6422,982,4952,6139,36300
Sherman College of Chiropractic,PrivacySuppressed,NULL,NULL,NULL,NULL,4380,PrivacySuppressed
Spartanburg Methodist College,6500,25085,0.8812,859,813,5746,31200
Spartanburg Community College,3500,12676,NULL,NULL,5034,5209,26500
Central Carolina Technical College,3500,13550,NULL,NULL,4014,5156,24700
Sumter Beauty College,PrivacySuppressed,NULL,NULL,NULL,28,NULL,PrivacySuppressed
Tri-County Technical College,4500,16086,NULL,NULL,5830,4914,27300
Trident Technical College,6750,12239,NULL,NULL,15747,5394,29600
Voorhees College,10686,24486,0.5051,NULL,536,4441,24100
Williamsburg Technical College,PrivacySuppressed,14439,NULL,NULL,713,4040,22400
Winthrop University,16163,24595,0.7225,1030,4704,7223,36200
Wofford College,19500,47856,0.688,1186,1610,7867,50000
York Technical College,4750,13006,NULL,NULL,4821,5379,25800
Augustana University,23951.5,36828,0.6809,1105,1615,6488,41600
Black Hills Beauty College,8750,NULL,NULL,NULL,112,NULL,17900
Black Hills State University,10250,15906,0.8924,993,3156,6666,34900
Kilian Community College,5354,24803,NULL,NULL,213,4426,24000
Dakota State University,10500,17201,0.8297,1010,1743,6855,36700
Dakota Wesleyan University,15000,31596,0.7023,1058,754,5452,35500
Headlines Academy Inc,7917,NULL,NULL,NULL,81,NULL,17600
Lake Area Technical Institute,11500,15109,NULL,NULL,1533,4576,35700
Avera McKennan Hospital School of Radiologic Technology,PrivacySuppressed,NULL,NULL,NULL,20,NULL,PrivacySuppressed
Mitchell Technical Institute,9500,14263,NULL,NULL,1136,4859,36200
Mount Marty College,18817,33103,0.7239,1050,676,5217,33800
National American University-Rapid City,6976,21387,NULL,NULL,1913,4987,34800
National American University-Sioux Falls,6976,21551,NULL,NULL,658,4679,34800
Sioux Falls Seminary,PrivacySuppressed,NULL,NULL,NULL,NULL,6115,NULL
Northern State University,9550,17334,0.9334,1030,1753,6801,34100
Oglala Lakota College,PrivacySuppressed,8996,NULL,NULL,1450,4735,18800
Presentation College,14250,26676,0.6608,934,728,4629,34500
Avera Sacred Heart Hospital,PrivacySuppressed,NULL,NULL,NULL,18,NULL,PrivacySuppressed
South Dakota School of Mines and Technology,12000,20234,0.8608,1183,2194,8892,54200
South Dakota State University,13080,18547,0.919,1050,10048,7451,42000
Sinte Gleska University,PrivacySuppressed,20101,NULL,NULL,550,2934,15100
University of Sioux Falls,13500,33909,0.969,1064,1075,6075,38800
Sanford Medical Center,PrivacySuppressed,NULL,NULL,NULL,24,NULL,PrivacySuppressed
Sisseton Wahpeton College,PrivacySuppressed,10346,NULL,NULL,189,4179,27500
Southeast Technical Institute,9500,15085,NULL,NULL,2405,5832,36900
Stewart School,7075,NULL,NULL,NULL,142,NULL,PrivacySuppressed
University of South Dakota,12500,18843,0.8788,1090,6449,7200,40200
Western Dakota Technical Institute,6454.5,14726,NULL,NULL,1004,4010,32400
American Baptist College,10750,26086,NULL,NULL,141,3948,PrivacySuppressed
Aquinas College,20500,31324,0.521,1115,486,5291,45000
Arnolds Beauty School,9500,NULL,NULL,NULL,72,NULL,15100
Tennessee College of Applied Technology-Athens,PrivacySuppressed,NULL,NULL,NULL,202,NULL,28100
Austin Peay State University,11000,18852,0.8595,1009,9271,6879,34100
Baptist Memorial College of Health Sciences,20079.5,19745,0.463,1125,1101,6442,52200
Belmont University,18554,41450,0.7987,1193,5465,8450,43000
Bethel University,9500,26864,0.5103,930,5063,3935,38100
Bryan College-Dayton,8789,29489,0.3762,1053,1209,4166,34900
Carson-Newman University,13000,32446,0.6657,1064,1688,5577,36300
Chattanooga State Community College,5500,13039,NULL,NULL,8224,5465,29200
Christian Brothers University,17500,34413,0.4745,1105,1156,5988,43900
Pentecostal Theological Seminary,PrivacySuppressed,NULL,NULL,NULL,NULL,5083,NULL
Cleveland State Community College,5500,10764,1,910,2978,5424,27500
Columbia State Community College,5500,11572,NULL,NULL,4317,4993,30700
Concorde Career College-Memphis,9500,NULL,1,NULL,1313,3332,22500
Tennessee College of Applied Technology-Covington,PrivacySuppressed,NULL,NULL,NULL,203,NULL,26400
Cumberland University,16500,33402,0.473,986,1198,5864,38300
Lipscomb University,12500,37181,0.527,1149,2874,7138,39800
Tennessee College of Applied Technology-Dickson,PrivacySuppressed,NULL,NULL,NULL,481,NULL,25500
Hussian College-Daymar College Nashville,15729,28539,NULL,NULL,138,3188,22400
Dyersburg State Community College,3500,14428,NULL,NULL,2362,5749,26200
East Tennessee State University,11250,22485,0.8649,1026,11399,6711,34600
Chattanooga College Medical Dental and Technical Careers,9500,24954,NULL,NULL,220,3613,23700
Tennessee College of Applied Technology-Elizabethton,PrivacySuppressed,NULL,NULL,NULL,521,NULL,26200
Emmanuel Christian Seminary,PrivacySuppressed,NULL,NULL,NULL,NULL,6931,NULL
The Hair Academy LLC,5127.5,NULL,NULL,NULL,71,NULL,15900
Fisk University,18875,38893,0.9075,854,611,5525,33200
Welch College,12000,25413,NULL,NULL,270,4230,28500
Freed-Hardeman University,16506,32814,0.9203,1098,1290,6154,36300
Tennessee College of Applied Technology-Harriman,PrivacySuppressed,NULL,NULL,NULL,250,NULL,27700
Tennessee College of Applied Technology-Hartsville,PrivacySuppressed,NULL,NULL,NULL,269,NULL,28600
Hiwassee College,6250,27295,0.5836,863,222,3271,27700
Tennessee College of Applied Technology-Hohenwald,PrivacySuppressed,NULL,NULL,NULL,363,NULL,27100
Tennessee College of Applied Technology-Jacksboro,PrivacySuppressed,NULL,NULL,NULL,246,NULL,25200
Jackson State Community College,2830,14503,NULL,NULL,3413,7055,27800
John A Gupton College,12000,19114,NULL,NULL,122,4939,36900
Johnson University,11799,19898,0.5464,1022,826,5485,28900
Paul Mitchell the School-Murfreesboro,9833,NULL,NULL,NULL,168,NULL,PrivacySuppressed
King University,14946.5,36533,0.6377,1039,2121,4703,42100
South College,10500,34415,NULL,NULL,708,7351,26000
Knoxville Institute of Hair Design,PrivacySuppressed,NULL,NULL,NULL,40,NULL,NULL
Lane College,13770,17406,0.4916,716,1554,4704,23300
Le Moyne-Owen College,9500,16427,0.2335,760,1009,4750,27700
Lee University,14000,23554,0.9165,1094,4143,5605,33600
Lincoln Memorial University,12590,31241,0.6995,1054,1632,5702,36600
Tennessee College of Applied Technology-Livingston,PrivacySuppressed,NULL,NULL,NULL,319,NULL,22600
Martin Methodist College,9500,31701,NULL,NULL,1144,5432,32200
Maryville College,17280,41481,0.7259,1068,1139,6508,37000
Tennessee College of Applied Technology-McKenzie,PrivacySuppressed,NULL,NULL,NULL,168,NULL,24600
Genesis Career College-Cookeville,6241.5,NULL,NULL,NULL,518,NULL,PrivacySuppressed
Meharry Medical College,6000,NULL,NULL,NULL,NULL,NULL,129500
Memphis College of Art,18500,37855,0.3978,1030,367,5255,25700
Tennessee College of Applied Technology-Memphis,PrivacySuppressed,NULL,NULL,NULL,817,NULL,24200
University of Memphis,14188.5,20899,0.6841,1031,16178,8304,36400
Memphis Theological Seminary,PrivacySuppressed,NULL,NULL,NULL,NULL,5122,NULL
Victory University,9500,23179,0.9547,NULL,2456,3292,37700
Middle Tennessee State University,11215,17501,0.6996,1011,20914,7029,37000
Middle Tennessee School of Anesthesia Inc,PrivacySuppressed,NULL,NULL,NULL,NULL,9334,NULL
Milligan College,17375,36252,0.683,1096,933,5717,37800
Tennessee College of Applied Technology-Morristown,PrivacySuppressed,NULL,NULL,NULL,638,NULL,25700
Motlow State Community College,3500,12466,0.4226,910,3901,5050,29200
Tennessee College of Applied Technology-Murfreesboro,PrivacySuppressed,NULL,NULL,NULL,335,NULL,29100
Lincoln College of Technology-Nashville,10500,NULL,NULL,NULL,1856,5594,33800
Nashville College of Medical Careers,8400,NULL,NULL,NULL,164,NULL,22300
Nashville State Community College,5508,11144,NULL,NULL,8349,5314,30400
Tennessee College of Applied Technology-Newbern,PrivacySuppressed,NULL,NULL,NULL,240,NULL,25600
O'More College of Design,13600,35632,0.5816,1050,179,3697,27200
Tennessee College of Applied Technology-Paris,PrivacySuppressed,NULL,NULL,NULL,271,NULL,21200
Plaza Beauty School,8350,NULL,NULL,NULL,137,NULL,17700
Tennessee College of Applied Technology-Pulaski,PrivacySuppressed,NULL,NULL,NULL,200,NULL,25400
Rhodes College,21500,50659,0.5764,1288,2012,8035,49600
Tennessee College of Applied Technology-Ripley,PrivacySuppressed,NULL,NULL,NULL,126,NULL,26800
Roane State Community College,5641,13454,0.9922,910,4952,5627,28800
Tennessee College of Applied Technology-Crump,PrivacySuppressed,NULL,NULL,NULL,210,NULL,22200
Southwest Tennessee Community College,2500,9956,1,756,10217,5010,24600
Tennessee College of Applied Technology-Shelbyville,PrivacySuppressed,NULL,NULL,NULL,436,NULL,31800
The University of the South,14500,46530,0.6027,1248,1599,8389,40600
Tennessee College of Applied Technology-Oneida-Huntsville,PrivacySuppressed,NULL,NULL,NULL,322,NULL,25800
Tennessee College of Applied Technology-Crossville,PrivacySuppressed,NULL,NULL,NULL,270,NULL,22800
Tennessee College of Applied Technology-McMinnville,PrivacySuppressed,NULL,NULL,NULL,188,NULL,26700
Tennessee College of Applied Technology-Jackson,PrivacySuppressed,NULL,NULL,NULL,425,NULL,25600
Tennessee College of Applied Technology-Knoxville,PrivacySuppressed,NULL,NULL,NULL,760,NULL,24800
Tennessee College of Applied Technology-Whiteville,PrivacySuppressed,NULL,NULL,NULL,184,NULL,28800
Pellissippi State Community College,5500,13678,NULL,NULL,8776,5526,28200
Southern Adventist University,14000,29085,0.3826,1050,2693,5123,37200
Southern College of Optometry,15708,NULL,NULL,NULL,NULL,8940,86000
Tennessee Wesleyan University,12500,28119,0.713,1006,1068,4834,37700
The University of Tennessee-Chattanooga,9500,19192,0.7757,1069,10184,7477,37100
The University of Tennessee-Knoxville,13000,24746,0.7249,1199,20948,9976,43400
The University of Tennessee-Martin,12500,16227,0.7668,1050,6554,6882,35000
Fountainhead College of Technology,19000,29878,NULL,NULL,180,3333,37000
Tennessee School of Beauty of Knoxville Inc,5500,NULL,NULL,NULL,173,NULL,15300
Tennessee State University,11000,16903,NULL,NULL,6669,7086,34400
Tennessee Technological University,8870,19900,0.9316,1071,9827,7551,37600
Tennessee Temple University,8500,23217,0.7843,878,704,2985,31200
Trevecca Nazarene University,11196,30820,0.772,1049,1448,6337,39500
Northeast State Community College,5000,11771,NULL,NULL,5052,5128,26500
Tusculum University,17611.5,32783,0.7225,961,1844,4906,37300
Union University,19000,40415,0.7412,1174,2567,7369,41200
New Concepts School of Cosmetology,5082,NULL,NULL,NULL,124,NULL,PrivacySuppressed
Vanderbilt University,11900,59890,0.1274,1475,6794,12871,64500
Volunteer Beauty Academy-Dyersburg,6500,NULL,NULL,NULL,59,NULL,17400
Volunteer State Community College,3500,13933,NULL,NULL,6415,5518,30700
Walters State Community College,3500,9931,0.9974,NULL,4789,5650,27000
West Tennessee Business College,7790,NULL,NULL,NULL,212,2549,18700
William Moore College of Technology,PrivacySuppressed,13738,NULL,NULL,219,2877,PrivacySuppressed
Abilene Christian University,18166,39811,0.4894,1087,3647,5508,41400
Alvin Community College,3500,11617,NULL,NULL,4227,6142,35600
Amarillo College,5500,10206,NULL,NULL,10009,6005,32100
Amberton University,NULL,NULL,NULL,NULL,261,6071,NULL
American Commercial College-San Angelo,8927,NULL,NULL,NULL,81,NULL,22200
American Commercial College-Odessa,7984,NULL,NULL,NULL,23,NULL,20000
Angelina College,PrivacySuppressed,10274,NULL,NULL,4203,5329,28100
Angelo State University,9500,19511,0.8049,965,5430,6867,38500
Arlington Baptist University,12500,16405,NULL,NULL,230,2695,34300
Arlington Career Institute,9356,NULL,NULL,NULL,235,NULL,27500
The Art Institute of Houston,10500,30536,NULL,NULL,2300,4616,33500
Austin College,23000,45800,0.5861,1181,1206,7605,48300
Austin Community College District,3500,13622,NULL,NULL,32715,7088,34900
Austin Presbyterian Theological Seminary,PrivacySuppressed,NULL,NULL,NULL,NULL,8701,PrivacySuppressed
Baldwin Beauty School-South Austin,PrivacySuppressed,NULL,NULL,NULL,76,NULL,18700
Baptist Health System School of Health Professions,14798,NULL,NULL,NULL,444,5194,PrivacySuppressed
Baptist Missionary Association Theological Seminary,PrivacySuppressed,NULL,1,NULL,55,4234,PrivacySuppressed
Texas A & M University Health Science Center,15104.5,NULL,NULL,NULL,243,9101,55500
Baylor College of Medicine,PrivacySuppressed,NULL,NULL,NULL,NULL,10254,166900
Baylor University,19500,51086,0.5747,1215,13221,8793,49400
Coastal Bend College,4981,10646,NULL,NULL,2284,4598,26600
Blinn College,5500,13458,NULL,NULL,16664,5890,37000
Remington College-Dallas Campus,9326,27742,0.8065,NULL,904,3794,26300
Vet Tech Institute of Houston,10873,18534,0.6525,NULL,192,3967,29900
Brazosport College,3500,9026,NULL,NULL,3217,5964,32800
Brookhaven College,4750,11714,NULL,NULL,10365,6864,36500
Capitol City Trade and Technical School,9500,NULL,NULL,NULL,165,NULL,26700
Capitol City Careers,15230,NULL,NULL,NULL,10,NULL,21400
Cedar Valley College,4382,10583,NULL,NULL,5833,6589,29100
Central Texas College,3500,9477,NULL,NULL,16076,5896,29900
Charles and Sues School of Hair Design,9500,NULL,NULL,NULL,19,NULL,16500
Cisco College,4750,12321,NULL,NULL,3496,4326,30600
Clarendon College,4773.5,11314,NULL,NULL,1214,4379,30100
Concordia University Texas,12250,37394,0.4685,1035,1493,6269,40900
Conlee's College of Cosmetology,PrivacySuppressed,NULL,NULL,NULL,51,NULL,PrivacySuppressed
North Central Texas College,3500,9734,NULL,NULL,10141,5444,32800
Texas A & M University-Corpus Christi,10500,17782,0.9258,960,9137,7505,41500
Cosmetology Career Center LLC,9615,NULL,NULL,NULL,215,NULL,26000
Court Reporting Institute of Dallas,9500,26868,NULL,NULL,183,4271,32000
Dallas Baptist University,13250,32489,0.423,1078,3375,7607,42500
Dallas Christian College,12250,24499,0.5516,930,316,4459,37100
Dallas Institute of Funeral Service,6409.5,20182,NULL,NULL,114,4398,37300
Dallas Theological Seminary,PrivacySuppressed,NULL,NULL,NULL,NULL,7174,NULL
University of Dallas,14190,47437,0.9011,1216,1374,7217,44500
Del Mar College,3500,10405,NULL,NULL,10502,6250,29500
Career Point College,9500,27557,NULL,NULL,529,2855,20500
East Texas Baptist University,10500,30172,0.7362,957,1132,6153,38900
Texas A&M University-Texarkana,7000,14147,0.3723,993,1392,8052,35500
Texas A & M University-Commerce,11250,18487,0.6818,987,6951,6203,37600
Eastfield College,4750,11702,NULL,NULL,12113,6769,31700
El Centro College,4750,10902,NULL,NULL,8854,6219,28800
El Paso Community College,3500,9466,NULL,NULL,29390,5811,25300
Western Technical College,9500,NULL,NULL,NULL,651,3482,28000
Western Technical College,9500,NULL,NULL,NULL,815,3123,28000
Episcopal Theological Seminary of the Southwest,PrivacySuppressed,NULL,NULL,NULL,NULL,6819,NULL
Exposito School of Hair Design,3500,NULL,NULL,NULL,58,NULL,15600
Miami International University of Art & Design-Art Institute Dallas,6109,31013,NULL,NULL,1408,5184,30300
Fort Worth Beauty School,7500,NULL,NULL,NULL,60,NULL,18500
Frank Phillips College,4859,11024,NULL,NULL,567,4145,30900
Franklin Beauty School,3750,NULL,NULL,NULL,106,NULL,16400
Galveston College,4000,8025,NULL,NULL,1858,5866,33200
Grayson College,4059,14438,NULL,NULL,3821,5492,31700
Hallmark University,10069,NULL,NULL,NULL,713,3993,33600
Hardin-Simmons University,14750,32001,0.3759,1035,1690,6653,40500
Trinity Valley Community College,5250,11924,NULL,NULL,4958,5757,29500
Hill College,5500,13463,NULL,NULL,3580,4737,27900
Houston Baptist University,10250,36095,0.7318,1075,2165,6504,46600
University of Houston-Clear Lake,12500,NULL,NULL,NULL,4691,7972,47100
Houston Community College,4750,13488,NULL,NULL,57742,6629,32700
University of Houston-Downtown,10004,18879,0.9509,894,13297,7279,42800
University of Houston-Victoria,8793,17508,0.5102,903,2879,8067,39200
University of Houston,13500,22215,0.5841,1136,30357,10569,49900
Howard College,3500,11349,NULL,NULL,4044,4185,29200
Howard Payne University,11000,32861,0.5382,953,1059,5553,36600
Huston-Tillotson University,10500,25894,0.4589,780,924,5676,31800
